═══════════════════════════════════════════
  Prime+Probe — RPi3 Cortex-A53
═══════════════════════════════════════════
Cache:         512KB, 16-way, 512 sets
Set stride:    32768 B
Buffer:        544 KB
Monitored sets:32
Threshold:     180 ns
Rounds:        500

[+] Buffer: 544KB at 0xffffb3948000
[+] HPC counters active on core 1

Round,Evicted_Sets,HPC_Misses,HPC_Refs,Miss_Rate_Pct,Cycles,Instructions,Avg_Probe_ns,Status
466,0,472,209287,0.23,1412698,1134065,81,NORMAL
467,0,252,207588,0.12,1413097,1141342,79,NORMAL
468,0,260,210770,0.12,1433735,1154622,76,NORMAL
469,0,489,194672,0.25,1414363,1079246,81,NORMAL
470,0,359,209075,0.17,1422174,1142105,81,NORMAL
471,0,443,212589,0.21,1435087,1153269,74,NORMAL
472,0,298,207972,0.14,1414808,1137729,76,NORMAL
473,0,408,203508,0.20,1419270,1122570,83,NORMAL
474,0,310,208644,0.15,1412919,1136263,76,NORMAL
475,0,288,207575,0.14,1413227,1137914,79,NORMAL
476,0,257,207612,0.12,1416782,1143150,83,NORMAL
477,0,1194,199700,0.60,1425921,1032228,73,NORMAL
478,0,856,216458,0.40,1415461,1129849,74,NORMAL
479,0,404,208864,0.19,1421665,1136461,81,NORMAL
480,0,293,207717,0.14,1413710,1140992,83,NORMAL
481,0,387,203730,0.19,1419239,1121319,69,NORMAL
482,0,456,212817,0.21,1436809,1150176,74,NORMAL
483,0,283,207645,0.14,1414077,1138008,79,NORMAL
484,0,295,209027,0.14,1419859,1145797,78,NORMAL
485,0,690,193447,0.36,1413814,1070660,81,NORMAL
486,0,327,212078,0.15,1444139,1163738,74,NORMAL
487,0,331,209307,0.16,1420919,1141530,76,NORMAL
488,0,429,212225,0.20,1435307,1157300,76,NORMAL
489,0,379,203313,0.19,1420546,1119726,76,NORMAL
490,0,338,208615,0.16,1413401,1136521,76,NORMAL
491,0,223,207458,0.11,1412566,1139840,84,NORMAL
492,0,481,201440,0.24,1421102,1103599,81,NORMAL
493,0,712,209001,0.34,1435299,1128809,79,NORMAL
494,0,305,208384,0.15,1414099,1138033,79,NORMAL
495,0,633,213674,0.30,1414043,1127264,73,NORMAL
496,0,475,202068,0.24,1413607,1116781,81,NORMAL
497,0,339,208013,0.16,1412800,1141328,84,NORMAL
498,0,322,208837,0.15,1419499,1151904,81,NORMAL
499,1,503,212574,0.24,1436766,1135545,250,NORMAL

[+] Complete.
