═══════════════════════════════════════════
  Prime+Probe — RPi3 Cortex-A53
═══════════════════════════════════════════
Cache:         512KB, 16-way, 512 sets
Set stride:    32768 B
Buffer:        544 KB
Monitored sets:32
Threshold:     180 ns
Rounds:        500

[+] Buffer: 544KB at 0xffffa6088000
[+] HPC counters active on core 1

Round,Evicted_Sets,HPC_Misses,HPC_Refs,Miss_Rate_Pct,Cycles,Instructions,Avg_Probe_ns,Status
362,1,51,13025,0.39,52165,35990,128,NORMAL
363,0,46,11041,0.42,43908,30467,154,NORMAL
364,1,52,12326,0.42,49545,34004,107,NORMAL
365,1,112,16869,0.66,71972,47581,143,NORMAL
366,1,99,14374,0.69,58011,38766,151,NORMAL
367,1,67,13017,0.51,52317,35998,130,NORMAL
368,1,48,11043,0.43,43754,33896,136,NORMAL
369,1,70,15222,0.46,61106,38766,117,NORMAL
370,1,58,13012,0.45,52238,35987,156,NORMAL
371,2,42,11043,0.38,43773,30465,1178,NORMAL
372,1,64,15957,0.40,62904,44303,152,NORMAL
373,1,41,11033,0.37,43717,30454,117,NORMAL
374,0,57,13016,0.44,52068,35989,113,NORMAL
375,1,42,11044,0.38,49238,33902,125,NORMAL
376,1,68,15223,0.45,55290,38761,146,NORMAL
377,1,57,13008,0.44,51491,35983,133,NORMAL
378,1,46,11038,0.42,43982,30461,130,NORMAL
379,1,65,15944,0.41,63127,44298,441,NORMAL
380,1,47,11046,0.43,44295,30458,136,NORMAL
381,1,55,13009,0.42,52767,35989,154,NORMAL
382,1,47,12295,0.38,49512,33897,113,NORMAL
383,1,69,13977,0.49,55028,38773,151,NORMAL
384,1,55,13008,0.42,51883,35980,133,NORMAL
385,0,48,11032,0.44,43925,30463,149,NORMAL
386,0,219,19642,1.11,86490,54041,148,NORMAL
387,1,77,11051,0.70,44986,33911,118,NORMAL
388,0,58,12300,0.47,49836,30465,141,NORMAL
389,1,47,13014,0.36,52023,42709,148,NORMAL
390,0,59,13416,0.44,53737,30465,135,NORMAL
391,1,54,13021,0.41,52004,35991,131,NORMAL
392,1,47,11038,0.43,43716,30464,123,NORMAL
393,1,67,15391,0.44,61251,42703,120,NORMAL
394,0,44,11038,0.40,49551,33896,143,NORMAL
395,0,59,12291,0.48,43667,30468,141,NORMAL
396,1,56,13024,0.43,61022,42707,126,NORMAL
397,1,66,13418,0.49,44032,30470,138,NORMAL
398,0,57,13009,0.44,52216,35982,120,NORMAL
399,0,60,11046,0.54,43867,30472,135,NORMAL
400,1,68,15392,0.44,61018,42705,154,NORMAL
401,1,41,11048,0.37,43816,33907,117,NORMAL
402,0,59,12302,0.48,49725,30467,122,NORMAL
403,1,55,13013,0.42,61205,42711,136,NORMAL
404,1,53,13419,0.39,44056,30468,154,NORMAL
405,0,69,13020,0.53,52063,35993,120,NORMAL
406,0,49,11042,0.44,44008,30470,130,NORMAL
407,1,53,13024,0.41,52628,35990,146,NORMAL
408,0,54,12301,0.44,50040,33906,125,NORMAL
409,0,60,11037,0.54,43992,30461,136,NORMAL
410,0,55,15397,0.36,61094,42713,131,NORMAL
411,1,68,11044,0.62,44150,30469,123,NORMAL
412,1,57,13034,0.44,52508,35997,110,NORMAL
413,1,52,11041,0.47,43747,30467,146,NORMAL
414,1,53,13017,0.41,52151,35989,126,NORMAL
415,1,44,11043,0.40,49672,33906,131,NORMAL
416,1,58,12293,0.47,44271,30471,115,NORMAL
417,0,53,13023,0.41,54248,43535,123,NORMAL
418,1,81,13817,0.59,54054,30459,156,NORMAL
419,1,59,13002,0.45,52056,35986,122,NORMAL
420,1,48,11042,0.43,43551,30470,123,NORMAL
421,1,59,13025,0.45,51925,35990,143,NORMAL
422,1,43,11042,0.39,43741,33899,122,NORMAL
423,1,60,12294,0.49,49662,30462,128,NORMAL
424,0,53,13012,0.41,51867,42718,107,NORMAL
425,1,58,13414,0.43,53330,30461,130,NORMAL
426,0,59,13018,0.45,52100,35986,126,NORMAL
427,1,48,11044,0.43,43688,30471,113,NORMAL
428,2,57,13021,0.44,52055,35998,543,NORMAL
429,2,50,11039,0.45,44155,30461,156,NORMAL
430,1,63,12302,0.51,49593,33908,146,NORMAL
431,0,47,12306,0.38,49652,34741,123,NORMAL
432,0,93,14379,0.65,57910,38772,125,NORMAL
433,0,59,13022,0.45,52087,35996,141,NORMAL
434,1,53,11041,0.48,44185,30467,126,NORMAL
435,1,68,15950,0.43,63230,44293,143,NORMAL
436,1,53,11048,0.48,43835,33899,157,NORMAL
437,1,58,12295,0.47,49748,30461,120,NORMAL
438,1,56,13010,0.43,51864,44309,133,NORMAL
439,1,60,13991,0.43,55078,30467,113,NORMAL
440,1,56,13024,0.43,52303,35989,130,NORMAL
441,1,48,11036,0.43,43706,30466,151,NORMAL
442,0,61,13016,0.47,52264,35993,153,NORMAL
443,1,53,11043,0.48,44100,30464,157,NORMAL
444,1,58,12294,0.47,49434,33899,136,NORMAL
445,0,49,12293,0.40,49406,33896,139,NORMAL
446,1,67,14138,0.47,55719,39427,117,NORMAL
447,1,57,13023,0.44,51996,35989,126,NORMAL
448,1,55,11037,0.50,43878,30466,136,NORMAL
449,0,60,15943,0.38,63605,44288,107,NORMAL
450,0,44,11043,0.40,44074,33895,156,NORMAL
451,1,66,12290,0.54,50163,30461,141,NORMAL
452,0,50,13010,0.38,53968,45113,143,NORMAL
453,1,86,14371,0.60,55859,30460,110,NORMAL
454,1,61,13023,0.47,52132,35996,109,NORMAL
455,0,53,11042,0.48,43609,30467,133,NORMAL
456,1,65,15939,0.41,64079,44285,126,NORMAL
457,1,45,12307,0.37,49901,33903,133,NORMAL
458,1,55,11038,0.50,43795,30466,115,NORMAL
459,1,77,15953,0.48,63735,44292,112,NORMAL
460,1,47,11048,0.43,43865,30469,154,NORMAL
461,1,56,13014,0.43,51810,35995,148,NORMAL
462,1,54,13024,0.41,52163,44298,125,NORMAL
463,0,58,13971,0.42,55027,30460,156,NORMAL
464,0,60,13010,0.46,51930,35982,139,NORMAL
465,0,49,11044,0.44,43942,30472,153,NORMAL
466,1,160,18952,0.84,81099,52375,123,NORMAL
467,0,63,11037,0.57,50571,33900,123,NORMAL
468,1,59,12304,0.48,43913,30466,140,NORMAL
469,0,49,13014,0.38,54033,43521,123,NORMAL
470,1,102,13803,0.74,53829,30465,114,NORMAL
471,1,57,13009,0.44,52146,35982,130,NORMAL
472,0,45,11041,0.41,43530,30463,135,NORMAL
473,0,71,15390,0.46,61479,42703,133,NORMAL
474,1,45,11042,0.41,49535,33897,123,NORMAL
475,1,61,12297,0.50,43805,30464,157,NORMAL
476,1,53,13017,0.41,52176,44859,139,NORMAL
477,1,64,14121,0.45,55638,30466,141,NORMAL
478,0,57,13015,0.44,52128,35993,110,NORMAL
479,0,47,11045,0.43,43641,30464,136,NORMAL
480,1,63,15938,0.40,63091,44287,120,NORMAL
481,1,42,11043,0.38,43912,33896,115,NORMAL
482,0,60,12300,0.49,49738,30464,144,NORMAL
483,0,57,13014,0.44,53786,45114,143,NORMAL
484,1,92,14373,0.64,55917,30461,157,NORMAL
485,0,61,13019,0.47,51946,35986,139,NORMAL
486,0,47,11043,0.43,43634,30466,130,NORMAL
487,26,56,13024,0.43,52206,36001,271,ATTACK_DETECTED
488,17,2119,115602,1.83,709481,340091,209,ATTACK_DETECTED
489,3,995,36338,2.74,221675,94954,146,NORMAL
490,8,381,21394,1.78,137635,59174,144,SUSPICIOUS
491,1,1059,82589,1.28,394814,230703,107,NORMAL
492,1,140,13437,1.04,57644,36837,108,NORMAL
493,2,64,11454,0.56,46256,34676,120,NORMAL
494,1,237,25213,0.94,110172,66888,109,NORMAL
495,1,59,11048,0.53,43965,30464,107,NORMAL
496,1,52,13032,0.40,52117,35981,138,NORMAL
497,0,64,13401,0.48,53436,40562,143,NORMAL
498,0,71,12708,0.56,56149,31527,109,NORMAL
499,1,62,13024,0.48,52158,35986,151,NORMAL

[+] Complete.
