noise_level,rep,cycles,instructions,l2d_cache,l2d_cache_refill,l2d_cache_wb,cache-references,cache-misses
10,1,NA,NA,NA,NA,NA,NA,NA
10,1,53473720,23403154,807106,240214,58333,8033779,118864
10,2,NA,NA,NA,NA,NA,NA,NA
10,2,54146407,23795747,831308,243851,61152,8176301,119262
10,3,NA,NA,NA,NA,NA,NA,NA
10,3,53305129,23464702,817919,236489,57581,8059659,118951
10,4,NA,NA,NA,NA,NA,NA,NA
10,4,53874749,23292668,836653,245801,60658,7989425,130150
10,5,NA,NA,NA,NA,NA,NA,NA
10,5,54167060,23631506,841144,243799,60618,8118213,125945
10,6,NA,NA,NA,NA,NA,NA,NA
10,6,53540998,23620123,796987,238064,57218,8108410,116382
10,7,NA,NA,NA,NA,NA,NA,NA
10,7,53310916,23256046,812856,239775,57742,7987247,120820
10,8,NA,NA,NA,NA,NA,NA,NA
10,8,53343963,23313006,813406,242576,60454,8004767,118286
10,9,NA,NA,NA,NA,NA,NA,NA
10,9,52994406,23778093,827634,232141,57862,8182919,115070
10,10,NA,NA,NA,NA,NA,NA,NA
10,10,53786093,24049650,840826,236800,57978,8270266,119187
