╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffff859b2000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    133 ns  (line already in cache)
[attacker]   DRAM miss     =   1990 ns  (line not in cache)
[attacker]   Threshold     =   1061 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  ──────  ──────────  ────────  ─────────────────
  1       468         HIT ◄   0 hits so far  (warmup)
  2       572         HIT ◄   0 hits so far  (warmup)
  3       2083        miss      0 hits so far  (warmup)
  4       520         HIT ◄   0 hits so far  (warmup)
  5       520         HIT ◄   0 hits so far  (warmup)
  6       625         HIT ◄   0 hits so far  (warmup)
  7       520         HIT ◄   0 hits so far  (warmup)
  8       468         HIT ◄   0 hits so far  (warmup)
  9       677         HIT ◄   0 hits so far  (warmup)
  10      520         HIT ◄   0 hits so far  (warmup)
  11      1927        miss      0 hits so far
  12      520         HIT ◄   1 hits so far
  13      520         HIT ◄   2 hits so far
  14      468         HIT ◄   3 hits so far
  15      520         HIT ◄   4 hits so far
  16      520         HIT ◄   5 hits so far

[attacker] ★ 5 consecutive cache HITS — victim access confirmed!

  17      520         HIT ◄   6 hits so far
  18      520         HIT ◄   7 hits so far
  19      1979        miss      7 hits so far
  20      520         HIT ◄   8 hits so far
  21      520         HIT ◄   9 hits so far
  22      625         HIT ◄   10 hits so far
  23      468         HIT ◄   11 hits so far
  24      468         HIT ◄   12 hits so far
  25      520         HIT ◄   13 hits so far
  26      520         HIT ◄   14 hits so far
  27      2031        miss      14 hits so far
  28      468         HIT ◄   15 hits so far
  29      520         HIT ◄   16 hits so far
  30      520         HIT ◄   17 hits so far
  31      520         HIT ◄   18 hits so far
  32      520         HIT ◄   19 hits so far
  33      520         HIT ◄   20 hits so far
  34      520         HIT ◄   21 hits so far
  35      2083        miss      21 hits so far
  36      937         HIT ◄   22 hits so far
  37      625         HIT ◄   23 hits so far
  38      520         HIT ◄   24 hits so far
  39      572         HIT ◄   25 hits so far
  40      520         HIT ◄   26 hits so far
  41      677         HIT ◄   27 hits so far
  42      520         HIT ◄   28 hits so far
  43      1979        miss      28 hits so far
  44      520         HIT ◄   29 hits so far
  45      520         HIT ◄   30 hits so far
  46      520         HIT ◄   31 hits so far
  47      520         HIT ◄   32 hits so far
  48      520         HIT ◄   33 hits so far
  49      572         HIT ◄   34 hits so far
  50      468         HIT ◄   35 hits so far
  51      1927        miss      35 hits so far
  52      520         HIT ◄   36 hits so far
  53      1041        HIT ◄   37 hits so far
  54      520         HIT ◄   38 hits so far
  55      520         HIT ◄   39 hits so far
  56      520         HIT ◄   40 hits so far
  57      468         HIT ◄   41 hits so far
  58      625         HIT ◄   42 hits so far
  59      2083        miss      42 hits so far
  60      572         HIT ◄   43 hits so far
  61      468         HIT ◄   44 hits so far
  62      520         HIT ◄   45 hits so far
  63      520         HIT ◄   46 hits so far
  64      520         HIT ◄   47 hits so far
  65      520         HIT ◄   48 hits so far
  66      520         HIT ◄   49 hits so far
  67      2291        miss      49 hits so far
  68      520         HIT ◄   50 hits so far
  69      520         HIT ◄   51 hits so far
  70      781         HIT ◄   52 hits so far
  71      520         HIT ◄   53 hits so far
  72      520         HIT ◄   54 hits so far
  73      520         HIT ◄   55 hits so far
  74      520         HIT ◄   56 hits so far
  75      2083        miss      56 hits so far
  76      572         HIT ◄   57 hits so far
  77      468         HIT ◄   58 hits so far
  78      468         HIT ◄   59 hits so far
  79      520         HIT ◄   60 hits so far
  80      520         HIT ◄   61 hits so far
  81      520         HIT ◄   62 hits so far
  82      520         HIT ◄   63 hits so far
  83      1927        miss      63 hits so far
  84      520         HIT ◄   64 hits so far
  85      468         HIT ◄   65 hits so far
  86      520         HIT ◄   66 hits so far
  87      520         HIT ◄   67 hits so far
  88      885         HIT ◄   68 hits so far
  89      520         HIT ◄   69 hits so far
  90      520         HIT ◄   70 hits so far
  91      1875        miss      70 hits so far
  92      520         HIT ◄   71 hits so far
  93      1093        miss      71 hits so far
  94      625         HIT ◄   72 hits so far
  95      520         HIT ◄   73 hits so far
  96      625         HIT ◄   74 hits so far
  97      520         HIT ◄   75 hits so far
  98      520         HIT ◄   76 hits so far
  99      1927        miss      76 hits so far
  100     520         HIT ◄   77 hits so far
  101     572         HIT ◄   78 hits so far
  102     520         HIT ◄   79 hits so far
  103     520         HIT ◄   80 hits so far
  104     572         HIT ◄   81 hits so far
  105     520         HIT ◄   82 hits so far
  106     468         HIT ◄   83 hits so far
  107     1875        miss      83 hits so far
  108     520         HIT ◄   84 hits so far
  109     520         HIT ◄   85 hits so far
  110     677         HIT ◄   86 hits so far
  111     1302        miss      86 hits so far
  112     520         HIT ◄   87 hits so far
  113     520         HIT ◄   88 hits so far
  114     520         HIT ◄   89 hits so far
  115     1927        miss      89 hits so far
  116     677         HIT ◄   90 hits so far
  117     1145        miss      90 hits so far
  118     1145        miss      90 hits so far
