╔══════════════════════════════════════════════════════════════╗
║  Flush+Reload Demo  –  ATTACKER  (ARMv8 / Cortex-A53)      ║
║  Monitoring spy file for victim accesses to session token.  ║
╚══════════════════════════════════════════════════════════════╝

[attacker] Timer frequency: 19200000 Hz  (52.1 ns/tick)

[attacker] Waiting for spy file '/tmp/fr_demo_spy' …

[attacker] Spy file opened (fd=4)
[attacker] Spy page mapped at virtual 0xffffac8f2000  (shared physical page)

[attacker] ── Phase 1: Calibration ──────────────────────────
[attacker] Calibration results (200 samples):
[attacker]   L2 cache HIT  =    132 ns  (line already in cache)
[attacker]   DRAM miss     =   2801 ns  (line not in cache)
[attacker]   Threshold     =   1466 ns  (midpoint)

[attacker] ── Phase 2: Flush+Reload Sampling ─────────────────
[attacker] Collecting 200 samples (warmup=10, wait=70 ms per sample)

  Sample  Reload(ns)  Decision  Running hit count
  162     1145        HIT ◄   27 hits so far
  163     1354        HIT ◄   28 hits so far

[attacker] ★ 5 consecutive cache HITS — victim access confirmed!

  164     989         HIT ◄   29 hits so far
  165     2395        miss      29 hits so far
  166     1250        HIT ◄   30 hits so far
  167     1145        HIT ◄   31 hits so far
  168     1614        miss      31 hits so far
  169     2083        miss      31 hits so far
  170     1458        HIT ◄   32 hits so far
  171     1197        HIT ◄   33 hits so far
  172     1614        miss      33 hits so far
  173     2552        miss      33 hits so far
  174     1927        miss      33 hits so far
  175     2135        miss      33 hits so far
  176     1979        miss      33 hits so far
  177     1718        miss      33 hits so far
  178     2083        miss      33 hits so far
  179     2083        miss      33 hits so far
  180     1666        miss      33 hits so far
  181     3281        miss      33 hits so far
  182     2031        miss      33 hits so far
  183     1666        miss      33 hits so far
  184     1927        miss      33 hits so far
  185     2916        miss      33 hits so far
  186     1458        HIT ◄   34 hits so far
  187     2395        miss      34 hits so far
  188     1562        miss      34 hits so far
  189     2552        miss      34 hits so far
  190     2968        miss      34 hits so far
  191     1406        HIT ◄   35 hits so far
  192     1458        HIT ◄   36 hits so far
  193     1093        HIT ◄   37 hits so far
  194     1197        HIT ◄   38 hits so far
  195     1093        HIT ◄   39 hits so far
  196     1979        miss      39 hits so far
  197     520         HIT ◄   40 hits so far
  198     2916        miss      40 hits so far
  199     1614        miss      40 hits so far
  200     1875        miss      40 hits so far

══════════════════════════════════════════════════════════════
  FLUSH+RELOAD — STATISTICAL SUMMARY  (190 samples)
══════════════════════════════════════════════════════════════
  Total cache hits   : 40 / 190  (21%)
  Average reload time: 2204 ns
  Threshold          : 1466 ns
  Verdict            : Low hit rate — check timing / CPU pinning.

══════════════════════════════════════════════════════════════
  EXTRACTING SESSION TOKEN FROM SPY PAGE
══════════════════════════════════════════════════════════════

  ╔════════════════════════════════════════════════════════════════╗
  ║  Offset   Hex (16 bytes/row)                   ASCII          ║
  ╠════════════════════════════════════════════════════════════════╣
  ║  0000   53 45 53 53 49 4f 4e 20  7c 20 69 64 3d 38 66 33  │ SESSION | id=8f3 ║
  ║  0010   61 31 63 39 64 32 65 37  62 34 30 35 36 20 7c 20  │ a1c9d2e7b4056 |  ║
  ║  0020   75 73 65 72 3d 62 6f 62  20 7c 20 72 6f 6c 65 3d  │ user=bob | role= ║
  ║  0030   61 64 6d 69 6e 20 7c 20  65 78 70 69 72 65 73 3d  │ admin | expires= ║
  ║  0040   31 37 38 31 33 30 33 32  32 33 20 7c 20 69 74 65  │ 1781303223 | ite ║
